Id,Sales
1,-9427.077
2,-7826.022
3,-6456.968
4,-3332.7346
5,-7475.2144
6,-2585.084
7,-6394.266
8,-6958.95
9,-3702.5642
10,-4428.8467
11,-6927.716
12,-8872.781
13,-10726.72
14,-12676.824
15,-4614.2095
16,-9407.731
17,-8023.6553
18,-11931.03
19,-616.8643
20,1431.0984
21,-8659.6
22,-8483.844
23,-4210.902
24,-9915.286
25,-6682.519
26,-8818.444
27,-3343.0295
28,-6762.4277
29,-9575.266
30,-8833.806
31,-4058.2063
32,-3413.4995
33,-7159.7544
34,-7847.33
35,-5954.2837
36,-1155.3058
37,-7852.3594
38,-3677.528
39,-6715.2495
40,-2558.8296
41,-11205.341
42,-12411.626
43,-2854.8118
44,-3056.5457
45,-8492.162
46,-10320.507
47,-7460.597
48,-7443.903
49,-9717.176
50,-5096.26
51,-8824.778
52,-8826.006
53,-7156.8154
54,1749.317
55,-960.6262
56,-4986.836
57,-5504.4927
58,-9337.003
59,-6802.7964
60,-956.8588
61,-7101.938
62,-10320.657
63,-8624.751
64,-11825.359
65,-8812.908
66,-3607.6199
67,-5619.2
68,-6647.999
69,-9575.887
70,-64.465294
71,-7844.4297
72,-8132.222
73,-6886.7793
74,-10170.515
75,-6763.662
76,-12589.673
77,-8578.969
78,-6854.257
79,-11685.682
80,-8026.4536
81,-7903.832
82,-4764.554
83,-11400.269
84,-10270.212
85,-10322.309
86,-6812.3306
87,-2369.2722
88,-9203.185
89,-9983.522
90,-5357.7583
91,-7821.564
92,-12403.326
93,-7904.145
94,-6953.0083
95,-5347.3423
96,-10852.18
97,-9150.702
98,-6258.978
99,-6129.778
100,-4300.225
101,-7190.828
102,-1719.0028
103,-7816.523
104,-10556.228
105,-11134.183
106,-8191.747
107,-9062.67
108,-7155.0737
109,-10058.141
110,-3884.457
111,-10402.321
112,-7387.582
113,-5629.9136
114,-12352.05
115,-9116.37
116,-8194.546
117,-6412.0454
118,-10385.3545
119,-7742.9634
120,-7144.1274
121,-6980.4927
122,-7258.2715
123,-9447.159
